language,type,aliases,extensions,filenames
MAXScript,programming,,.ms; .mcr,
mcfunction,programming,,.mcfunction,
mdsvex,markup,,.svx,
MDX,markup,,.mdx,
Mercury,programming,,.m; .moo,
Mermaid,markup,mermaid example,.mmd; .mermaid,
Meson,programming,,,meson.build; meson_options.txt
Metal,programming,,.metal,
MeTTa,programming,,.metta,
Microsoft Developer Studio Project,data,,.dsp,
Microsoft Visual Studio Solution,data,,.sln,
MiniD,programming,,.minid,
MiniYAML,data,,.yaml; .yml,
MiniZinc,programming,,.mzn,
MiniZinc Data,data,,.dzn,
Mint,programming,,.mint,
Mirah,programming,,.druby; .duby; .mirah,
mIRC Script,programming,,.mrc,
MLIR,programming,,.mlir,
Modelica,programming,,.mo,
Modula-2,programming,,.mod,
Modula-3,programming,,.i3; .ig; .m3; .mg,
Module Management System,programming,,.mms; .mmk,descrip.mmk; descrip.mms
Mojo,programming,,.mojo,
Monkey,programming,,.monkey; .monkey2,
Monkey C,programming,,.mc,
Moocode,programming,,.moo,
MoonBit,programming,,.mbt,
MoonScript,programming,,.moon,
Motoko,programming,,.mo,
Motorola 68K Assembly,programming,m68k,.asm; .i; .inc; .s; .x68,
Move,programming,,.move,
MQL4,programming,,.mq4; .mqh,
MQL5,programming,,.mq5; .mqh,
MTML,markup,,.mtml,
MUF,programming,,.muf; .m,
mupad,programming,,.mu,
Muse,prose,amusewiki; emacs muse,.muse,
Mustache,markup,,.mustache,
Myghty,programming,,.myt,
nanorc,data,,.nanorc,.nanorc; nanorc
Nasal,programming,,.nas,
NASL,programming,,.nasl; .inc,
NCL,programming,,.ncl,
Nearley,programming,,.ne; .nearley,
Nemerle,programming,,.n,
NEON,data,nette object notation; ne-on,.neon,
nesC,programming,,.nc,
NetLinx,programming,,.axs; .axi,
NetLinx+ERB,programming,,.axs.erb; .axi.erb,
NetLogo,programming,,.nlogo,
NewLisp,programming,,.nl; .lisp; .lsp,
Nextflow,programming,,.nf,nextflow.config
Nginx,data,nginx configuration file,.nginx; .nginxconf; .vhost,nginx.conf
Nickel,programming,,.ncl,
Nim,programming,,.nim; .nim.cfg; .nimble; .nimrod; .nims,nim.cfg
Ninja,data,,.ninja,
Nit,programming,,.nit,
Nix,programming,nixos,.nix,
NL,data,,.nl,
NMODL,programming,,.mod,
Noir,programming,nargo,.nr,
NPM Config,data,npmrc,,.npmrc
NSIS,programming,,.nsi; .nsh,
Nu,programming,nush,.nu,Nukefile
NumPy,programming,,.numpy; .numpyw; .numsc,
Nunjucks,markup,njk,.njk,
Nushell,programming,nu-script; nushell-script,.nu,
NWScript,programming,,.nss,
OASv2-json,data,,.json,
OASv2-yaml,data,,.yaml; .yml,
OASv3-json,data,,.json,
OASv3-yaml,data,,.yaml; .yml,
Oberon,programming,,.ob2,
ObjDump,data,,.objdump,
Object Data Instance Notation,data,,.odin,
Objective-C,programming,obj-c; objc; objectivec,.m; .h,
Objective-C++,programming,obj-c++; objc++; objectivec++,.mm,
Objective-J,programming,obj-j; objectivej; objj,.j; .sj,
ObjectScript,programming,,.cls,
OCaml,programming,,.ml; .eliom; .eliomi; .ml4; .mli; .mll; .mly,
Odin,programming,odinlang; odin-lang,.odin,
Omgrofl,programming,,.omgrofl,
OMNeT++ MSG,programming,omnetpp-msg,.msg,
OMNeT++ NED,programming,omnetpp-ned,.ned,
ooc,programming,,.ooc,
Opa,programming,,.opa,
Opal,programming,,.opal,
Open Policy Agent,programming,,.rego,
OpenAPI Specification v2,data,oasv2,,
OpenAPI Specification v3,data,oasv3,,
OpenCL,programming,,.cl; .opencl,
OpenEdge ABL,programming,progress; openedge; abl,.p; .cls; .w,
OpenQASM,programming,,.qasm,
OpenRC runscript,programming,openrc,,
OpenSCAD,programming,,.scad,
OpenStep Property List,data,,.plist; .glyphs,
OpenType Feature File,data,AFDKO,.fea,
Option List,data,opts; ackrc,,.ackrc; .rspec; .yardopts; ackrc; mocha.opts
Org,prose,,.org,
OverpassQL,programming,,.overpassql,
Ox,programming,,.ox; .oxh; .oxo,
Oxygene,programming,,.oxygene,
Oz,programming,,.oz,
P4,programming,,.p4,
Pact,programming,,.pact,
Pan,programming,,.pan,
Papyrus,programming,,.psc,
Parrot,programming,,.parrot,
Parrot Assembly,programming,pasm,.pasm,
Parrot Internal Representation,programming,pir,.pir,
Pascal,programming,delphi; objectpascal,.pas; .dfm; .dpr; .inc; .lpr; .pascal; .pp,
Pawn,programming,,.pwn; .inc; .sma,
PDDL,programming,,.pddl,
PEG.js,programming,,.pegjs; .peggy,
Pep8,programming,,.pep,
Perl,programming,cperl,.pl; .al; .cgi; .fcgi; .perl; .ph; .plx; .pm; .psgi; .t,.latexmkrc; Makefile.PL; Rexfile; ack; cpanfile; latexmkrc
PHP,programming,inc,.php; .aw; .ctp; .fcgi; .inc; .php3; .php4; .php5; .phps; .phpt,.php; .php_cs; .php_cs.dist; Phakefile
Pic,markup,pikchr,.pic; .chem,
Pickle,data,,.pkl,
PicoLisp,programming,,.l,
PigLatin,programming,,.pig,
Pike,programming,,.pike; .pmod,
Pip Requirements,data,,,dev-requirements.txt; requirements-dev.txt; requirements.lock.txt; requirements.txt
Pkl,programming,,.pkl,
PlantUML,data,,.puml; .iuml; .plantuml,
PLpgSQL,programming,,.pgsql; .sql,
PLSQL,programming,,.pls; .bdy; .ddl; .fnc; .pck; .pkb; .pks; .plb; .plsql; .prc; .spc; .sql; .tpb; .tps; .trg; .vw,
Pod,prose,,.pod,
Pod 6,prose,,.pod; .pod6,
PogoScript,programming,,.pogo,
Polar,programming,,.polar,
Pony,programming,,.pony,
Portugol,programming,,.por,
PostCSS,markup,,.pcss; .postcss,
PostScript,markup,postscr,.ps; .eps; .epsi; .pfa,
POV-Ray SDL,programming,pov-ray; povray,.pov; .inc,
PowerBuilder,programming,,.pbt; .sra; .sru; .srw,
PowerShell,programming,posh; pwsh,.ps1; .psd1; .psm1,
Praat,programming,,.praat,
Prisma,data,,.prisma,
Processing,programming,,.pde,
Procfile,programming,,,Procfile
Proguard,data,,.pro,
Prolog,programming,,.pl; .plt; .pro; .prolog; .yap,
Promela,programming,,.pml,
Propeller Spin,programming,,.spin,
Protocol Buffer,data,proto; protobuf; Protocol Buffers,.proto,
Protocol Buffer Text Format,data,text proto; protobuf text format,.textproto; .pbt; .pbtxt; .txtpb,
Public Key,data,,.asc; .pub,
Pug,markup,,.jade; .pug,
Puppet,programming,,.pp,Modulefile
Pure Data,data,,.pd,
PureBasic,programming,,.pb; .pbi,
PureScript,programming,,.purs,
Pyret,programming,,.arr,
Python,programming,py; py3; python3; rusthon,.py; .cgi; .fcgi; .gyp; .gypi; .lmi; .py3; .pyde; .pyi; .pyp; .pyt; .pyw; .rpy; .spec; .tac; .wsgi; .xpy,.gclient; DEPS; SConscript; SConstruct; wscript
Python console,programming,pycon,,
Python traceback,data,,.pytb,
q,programming,,.q,
Q#,programming,qsharp,.qs,
QMake,programming,,.pro; .pri,
QML,programming,,.qml; .qbs,
Qt Script,programming,,.qs,installscript.qs; toolchain_installscript.qs
Quake,programming,,,m3makefile; m3overrides
QuakeC,programming,,.qc,
QuickBASIC,programming,qb; qbasic; qb64; classic qbasic; classic quickbasic,.bas; .bi,
R,programming,Rscript; splus,.r; .rd; .rsx,.Rprofile; expr-dist
Racket,programming,,.rkt; .rktd; .rktl; .scrbl,
Ragel,programming,ragel-rb; ragel-ruby,.rl,
Raku,programming,perl6; perl-6,.6pl; .6pm; .nqp; .p6; .p6l; .p6m; .pl; .pl6; .pm; .pm6; .raku; .rakumod; .t,
RAML,markup,,.raml,
Rascal,programming,,.rsc,
RAScript,programming,,.rascript,
Raw token data,data,raw,.raw,
RBS,data,,.rbs,
RDoc,prose,,.rdoc,
Readline Config,data,inputrc; readline,,.inputrc; inputrc
REALbasic,programming,,.rbbas; .rbfrm; .rbmnu; .rbres; .rbtbar; .rbuistate,
Reason,programming,,.re; .rei,
ReasonLIGO,programming,,.religo,
Rebol,programming,,.reb; .r; .r2; .r3; .rebol,
Record Jar,data,,,language-subtag-registry.txt
Red,programming,red/system,.red; .reds,
Redcode,programming,,.cw,
Redirect Rules,data,redirects,,_redirects
Regular Expression,data,regexp; regex,.regexp; .regex,
Ren'Py,programming,renpy,.rpy,
RenderScript,programming,,.rs; .rsh,
ReScript,programming,,.res; .resi,
reStructuredText,prose,rst,.rst; .rest; .rest.txt; .rst.txt,
REXX,programming,arexx,.rexx; .pprx; .rex,
Rez,programming,,.r,
Rich Text Format,markup,,.rtf,
Ring,programming,,.ring,
Riot,markup,,.riot,
RMarkdown,prose,,.qmd; .rmd,
RobotFramework,programming,,.robot; .resource,
robots.txt,data,robots; robots txt,,robots.txt
Roc,programming,,.roc,
Rocq Prover,programming,coq; rocq,.v; .coq,
Roff,markup,groff; man; manpage; man page; man-page; mdoc; nroff; troff,.roff; .1; .1in; .1m; .1x; .2; .3; .3in; .3m; .3p; .3pm; .3qt; .3x; .4; .5; .6; .7; .8; .9; .l; .man; .mdoc; .me; .ms; .n; .nr; .rno; .tmac,eqnrc; mmn; mmt; troffrc; troffrc-end
Roff Manpage,markup,,.1; .1in; .1m; .1x; .2; .3; .3in; .3m; .3p; .3pm; .3qt; .3x; .4; .5; .6; .7; .8; .9; .man; .mdoc,
RON,data,,.ron,
ROS Interface,data,rosmsg,.msg; .action; .srv,
Rouge,programming,,.rg,
RouterOS Script,programming,,.rsc,
RPC,programming,rpcgen; oncrpc; xdr,.x,
RPGLE,programming,ile rpg; sqlrpgle,.rpgle; .sqlrpgle,
RPM Spec,data,specfile,.spec,
Ruby,programming,jruby; macruby; rake; rb; rbx,.rb; .builder; .eye; .fcgi; .gemspec; .god; .jbuilder; .mspec; .pluginspec; .podspec; .prawn; .rabl; .rake; .rbi; .rbuild; .rbw; .rbx; .ru; .ruby; .spec; .thor; .watchr,.irbrc; .pryrc; .simplecov; Appraisals; Berksfile; Brewfile; Buildfile; Capfile; Dangerfile; Deliverfile; Fastfile; Gemfile; Guardfile; Jarfile; Mavenfile; Podfile; Puppetfile; Rakefile; Snapfile; Steepfile; Thorfile; Vagrantfile; buildfile
RUNOFF,markup,,.rnh; .rno,
Rust,programming,rs,.rs; .rs.in,
Sage,programming,,.sage; .sagews,
Sail,programming,,.sail,
SaltStack,programming,saltstate; salt,.sls,
SAS,programming,,.sas,
Sass,markup,,.sass,
Scala,programming,,.scala; .kojo; .sbt; .sc,
Scaml,markup,,.scaml,
Scenic,programming,,.scenic,
Scheme,programming,,.scm; .sch; .sld; .sls; .sps; .ss,
Scilab,programming,,.sci; .sce; .tst,
SCSS,markup,,.scss,
sed,programming,,.sed,
Self,programming,,.self,
SELinux Policy,data,SELinux Kernel Policy Language; sepolicy,.te,file_contexts; genfs_contexts; initial_sids; port_contexts; security_classes
ShaderLab,programming,,.shader,
Shell,programming,sh; shell-script; bash; zsh; envrc,.sh; .bash; .bats; .cgi; .command; .fcgi; .ksh; .sbatch; .sh.in; .slurm; .tmux; .tool; .trigger; .zsh; .zsh-theme,.bash_aliases; .bash_functions; .bash_history; .bash_logout; .bash_profile; .bashrc; .cshrc; .envrc; .flaskenv; .kshrc; .login; .profile; .tmux.conf; .xinitrc; .xsession; .zlogin; .zlogout; .zprofile; .zshenv; .zshrc; 9fs; PKGBUILD; bash_aliases; bash_logout; bash_profile; bashrc; cshrc; gradlew; kshrc; login; man; mvnw; profile; tmux.conf; xinitrc; xsession; zlogin; zlogout; zprofile; zshenv; zshrc
ShellCheck Config,data,shellcheckrc,,.shellcheckrc
ShellSession,programming,bash session; console,.sh-session,
Shen,programming,,.shen,
Sieve,programming,,.sieve,
Simple File Verification,data,sfv,.sfv,
Singularity,programming,,,Singularity
Slang,programming,,.slang,
Slash,programming,,.sl,
Slice,programming,,.ice,
Slim,markup,,.slim,
Slint,markup,,.slint,
Smali,programming,,.smali,
Smalltalk,programming,squeak,.st; .cs,
Smarty,programming,,.tpl,
Smithy,programming,,.smithy,
SmPL,programming,coccinelle,.cocci,
SMT,programming,,.smt2; .smt; .z3,
Snakemake,programming,snakefile,.smk; .snakefile,Snakefile
Solidity,programming,,.sol,
Soong,data,,,Android.bp
SourcePawn,programming,sourcemod,.sp; .inc,
SPARQL,data,,.sparql; .rq,
SpiceDB Schema,data,,.zed,
Spline Font Database,data,,.sfd,
SQF,programming,,.sqf; .hqf,
SQL,data,,.sql; .ddl; .inc; .mysql; .prc; .tab; .udf; .viw,
SQLPL,programming,,.sql; .db2,
Squirrel,programming,,.nut,
SRecode Template,markup,,.srt,
SSH Config,data,sshconfig; sshdconfig; ssh_config; sshd_config,,ssh-config; ssh_config; sshconfig; sshconfig.snip; sshd-config; sshd_config
Stan,programming,,.stan,
Standard ML,programming,sml,.ml; .fun; .sig; .sml,
STAR,data,,.star,
Starlark,programming,bazel; bzl,.bzl; .star,BUCK; BUILD; BUILD.bazel; MODULE.bazel; Tiltfile; WORKSPACE; WORKSPACE.bazel; WORKSPACE.bzlmod
Stata,programming,,.do; .ado; .doh; .ihlp; .mata; .matah; .sthlp,
STL,data,ascii stl; stla,.stl,
STON,data,,.ston,
StringTemplate,markup,,.st,
Stylus,markup,,.styl,
SubRip Text,data,,.srt,
SugarSS,markup,,.sss,
SuperCollider,programming,,.sc; .scd,
SurrealQL,programming,surql,.surql,
Survex data,data,,.svx,
Svelte,markup,,.svelte,
SVG,data,,.svg,
Sway,programming,,.sw,
Sweave,prose,,.rnw,
Swift,programming,,.swift,
SWIG,programming,,.i; .swg; .swig,
SystemVerilog,programming,,.sv; .svh; .vh,
Tact,programming,,.tact,
Talon,programming,,.talon,
Tcl,programming,sdc; xdc,.tcl; .adp; .sdc; .tcl.in; .tm; .xdc,owh; starfield
Tcsh,programming,,.tcsh; .csh,
Tea,markup,,.tea,
Teal,programming,,.tl,
templ,markup,,.templ,
Terra,programming,,.t,
Terraform Template,markup,,.tftpl,
TeX,markup,latex,.tex; .aux; .bbx; .cbx; .cls; .dtx; .ins; .lbx; .ltx; .mkii; .mkiv; .mkvi; .sty; .toc,
Texinfo,prose,,.texinfo; .texi; .txi,
Text,prose,fundamental; plain text,.txt; .fr; .nb; .ncl; .no,CITATION; CITATIONS; COPYING; COPYING.regex; COPYRIGHT.regex; FONTLOG; INSTALL; INSTALL.mysql; LICENSE; LICENSE.mysql; NEWS; README.me; README.mysql; README.nss; click.me; delete.me; keep.me; package.mask; package.use.mask; package.use.stable.mask; read.me; readme.1st; test.me; use.mask; use.stable.mask
TextGrid,data,,.TextGrid,
Textile,prose,,.textile,
TextMate Properties,data,tm-properties,,.tm_properties
Thrift,programming,,.thrift,
TI Program,programming,,.8xp; .8xp.txt,
TL-Verilog,programming,,.tlv,
TLA,programming,,.tla,
TMDL,data,Tabular Model Definition Language,.tmdl,
Toit,programming,,.toit,
TOML,data,,.toml; .toml.example,Cargo.lock; Cargo.toml.orig; Gopkg.lock; Pipfile; mise.local.lock; mise.lock; pdm.lock; poetry.lock; uv.lock
Tor Config,data,torrc,,torrc
Tree-sitter Query,programming,tsq,.scm,
TSPLIB data,data,travelling salesman problem; traveling salesman problem,.tsp,
TSQL,programming,,.sql,
TSV,data,tab-seperated values,.tsv; .vcf,
TSX,programming,typescriptreact,.tsx,
Turing,programming,,.t; .tu,
Turtle,data,,.ttl,
Twig,markup,,.twig,
TXL,programming,,.txl,
Type Language,data,tl,.tl,
TypeScript,programming,ts,.ts; .cts; .mts,
TypeSpec,programming,tsp,.tsp,
Typst,programming,typ,.typ,
Unified Parallel C,programming,,.upc,
Unity3D Asset,data,,.anim; .asset; .mask; .mat; .meta; .prefab; .unity,
Unix Assembly,programming,gas; gnu asm; unix asm,.s; .ms,
Uno,programming,,.uno,
UnrealScript,programming,,.uc,
Untyped Plutus Core,programming,,.uplc,
UrWeb,programming,Ur/Web; Ur,.ur; .urs,
V,programming,vlang,.v,
Vala,programming,,.vala; .vapi,
Valve Data Format,data,keyvalues; vdf,.vdf,
VBA,programming,visual basic for applications,.bas; .cls; .frm; .vba,
VBScript,programming,,.vbs,
vCard,data,virtual contact file; electronic business card,.vcf,
VCL,programming,,.vcl,
Velocity Template Language,markup,vtl; velocity,.vtl,
Vento,markup,,.vto,
Verilog,programming,,.v; .veo,
VHDL,programming,,.vhdl; .vhd; .vhf; .vhi; .vho; .vhs; .vht; .vhw,
Vim Help File,prose,help; vimhelp,.txt,
Vim Script,programming,vim; viml; nvim; vimscript,.vim; .vba; .vimrc; .vmb,.exrc; .gvimrc; .nvimrc; .vimrc; _vimrc; gvimrc; nvimrc; vimrc
Vim Snippet,markup,SnipMate; UltiSnip; UltiSnips; NeoSnippet,.snip; .snippet; .snippets,
Visual Basic .NET,programming,visual basic; vbnet; vb .net; vb.net,.vb; .vbhtml,
Visual Basic 6.0,programming,vb6; vb 6; visual basic 6; visual basic classic; classic visual basic,.bas; .cls; .ctl; .Dsr; .frm,
Volt,programming,,.volt,
Vue,markup,,.vue,
Vyper,programming,,.vy,
Wavefront Material,data,,.mtl,
Wavefront Object,data,,.obj,
WDL,programming,Workflow Description Language,.wdl,
Web Ontology Language,data,,.owl,
WebAssembly,programming,wast; wasm,.wast; .wat,
WebAssembly Interface Type,data,wit,.wit,
WebIDL,programming,,.webidl,
WebVTT,data,vtt,.vtt,
Wget Config,data,wgetrc,,.wgetrc
WGSL,programming,,.wgsl,
Whiley,programming,,.whiley,
Wikitext,prose,mediawiki; wiki,.mediawiki; .wiki; .wikitext,
Win32 Message File,data,,.mc,
Windows Registry Entries,data,,.reg,
wisp,programming,,.wisp,
Witcher Script,programming,,.ws,
Wolfram Language,programming,mathematica; mma; wolfram; wolfram lang; wl,.mathematica; .cdf; .m; .ma; .mt; .nb; .nbp; .wl; .wls; .wlt,
Wollok,programming,,.wlk,
World of Warcraft Addon Data,data,,.toc,
Wren,programming,wrenlang,.wren,
X BitMap,data,xbm,.xbm,
X Font Directory Index,data,,,encodings.dir; fonts.alias; fonts.dir; fonts.scale
X PixMap,data,xpm,.xpm; .pm,
X10,programming,xten,.x10,
xBase,programming,advpl; clipper; foxpro,.prg; .ch; .prw,
XC,programming,,.xc,
XCompose,data,,,.XCompose; XCompose; xcompose
Xmake,programming,,,xmake.lua
XML,data,rss; xsd; wsdl,.xml; .adml; .admx; .ant; .axaml; .axml; .builds; .ccproj; .ccxml; .clixml; .cproject; .cscfg; .csdef; .csl; .csproj; .ct; .depproj; .dita; .ditamap; .ditaval; .dll.config; .dotsettings; .filters; .fsproj; .fxml; .glade; .gml; .gmx; .gpx; .grxml; .gst; .hzp; .icls; .iml; .ivy; .jelly; .jsproj; .kml; .launch; .mdpolicy; .mjml; .mm; .mod; .mojo; .mxml; .natvis; .ncl; .ndproj; .nproj; .nuspec; .odd; .osm; .pkgproj; .pluginspec; .proj; .props; .ps1xml; .psc1; .pt; .pubxml; .qhelp; .rdf; .res; .resx; .rs; .rss; .sch; .scxml; .sfproj; .shproj; .slnx; .srdf; .storyboard; .sublime-snippet; .sw; .targets; .tml; .ts; .tsx; .typ; .ui; .urdf; .ux; .vbproj; .vcxproj; .vsixmanifest; .vssettings; .vstemplate; .vxml; .wixproj; .workflow; .wsdl; .wsf; .wxi; .wxl; .wxs; .x3d; .xacro; .xaml; .xib; .xlf; .xliff; .xmi; .xml.dist; .xmp; .xproj; .xsd; .xspec; .xul; .zcml,.classpath; .cproject; .project; App.config; NuGet.config; Settings.StyleCop; Web.Debug.config; Web.Release.config; Web.config; packages.config
XML Property List,data,,.plist; .stTheme; .tmCommand; .tmLanguage; .tmPreferences; .tmSnippet; .tmTheme,
Xojo,programming,,.xojo_code; .xojo_menu; .xojo_report; .xojo_script; .xojo_toolbar; .xojo_window,
Xonsh,programming,,.xsh,
XPages,data,,.xsp-config; .xsp.metadata,
XProc,programming,,.xpl; .xproc,
XQuery,programming,,.xquery; .xq; .xql; .xqm; .xqy,
XS,programming,,.xs,
XSLT,programming,xsl,.xslt; .xsl,
Xtend,programming,,.xtend,
Yacc,programming,,.y; .yacc; .yy,
YAML,data,yml,.yml; .mir; .reek; .rviz; .sublime-syntax; .syntax; .yaml; .yaml-tmlanguage; .yaml.sed; .yml.mysql,.clang-format; .clang-tidy; .clangd; .gemrc; CITATION.cff; glide.lock; pixi.lock; yarn.lock
YANG,data,,.yang,
YARA,programming,,.yar; .yara,
YASnippet,markup,snippet; yas,.yasnippet,
Yul,programming,,.yul,
ZAP,programming,,.zap; .xzap,
Zeek,programming,bro,.zeek; .bro,
ZenScript,programming,,.zs,
Zephir,programming,,.zep,
Zig,programming,,.zig; .zig.zon,
ZIL,programming,,.zil; .mud,
Zimpl,programming,,.zimpl; .zmpl; .zpl,
Zmodel,data,,.zmodel,
